book_title,book_genre,book_rate,successfull_book,paperback,hardback,author,number_of_pages,book_length_mm,book_width_mm,book_depth_mm,book_weight_grams,publication_day,publication_month,publication_year,publisher,publication_city,publication_country,language,bestsellers_rank,price_nis
It Ends With Us: The most heartbreaking novel you'll ever read : The most heartbreaking novel you'll ever read,1,4.44,1,1,0,Colleen Hoover,384.0,198.0,130.0,27.0,270.0,2,8,2016,Simon & Schuster Ltd,London,United Kingdom,1,1,52.42
The Midnight Library : The No.1 Sunday Times bestseller and worldwide phenomenon,1,4.08,1,1,0,Matt Haig,304.0,198.0,129.0,17.0,224.0,18,2,2021,Canongate Books Ltd,Edinburgh,United Kingdom,1,9,49.88
Normal People : One million copies sold,1,3.85,0,1,0,Sally Rooney,288.0,198.0,129.0,17.0,240.0,23,7,2019,Faber & Faber,London,United Kingdom,1,11,50.21
1984 : The dystopian classic reimagined with cover art by Shepard Fairey,1,4.19,1,1,0,George Orwell,336.0,181.0,111.0,20.0,184.0,1,10,2008,Penguin Books Ltd,London,United Kingdom,1,59,40.41
Animal Farm : The dystopian classic reimagined with cover art by Shepard Fairey,1,3.97,0,1,0,George Orwell,112.0,181.0,111.0,6.0,67.0,1,10,2008,Penguin Books Ltd,London,United Kingdom,1,87,37.99
The Song of Achilles,1,4.41,1,1,0,Madeline Miller,368.0,198.0,129.0,25.0,256.0,21,9,2017,Bloomsbury Publishing PLC,London,United Kingdom,1,11,55.53
Eleanor Oliphant is Completely Fine,1,4.26,1,1,0,Gail Honeyman,400.0,198.0,129.0,30.0,350.0,5,4,2018,HarperCollins Publishers,London,United Kingdom,1,492,54.32
Grandmaster of Demonic Cultivation : Mo Dao Zu Shi: Vol 1,1,4.66,1,1,0,Mo Xiang Tong Xiu,504.0,210.0,149.0,30.48,369.0,14,12,2021,"Seven Seas Entertainment, LLC",West Hollywood,United States,1,13,81.48
"The Silent Patient : The record-breaking, multimillion copy Sunday Times bestselling thriller and Richard & Judy book club pick",1,4.13,1,1,0,Alex Michaelides,352.0,196.0,126.0,26.0,247.0,15,1,2020,Orion Publishing Co,London,United Kingdom,1,43,45.37
Before the Coffee Gets Cold,1,3.73,0,1,0,Toshikazu Kawaguchi,224.0,196.0,131.0,16.0,173.0,19,9,2019,Pan Macmillan,London,United Kingdom,1,42,43.9
A Gentleman in Moscow : The worldwide bestseller,1,4.33,1,1,0,Amor Towles,512.0,198.0,129.0,30.0,351.0,2,11,2017,Cornerstone,London,United Kingdom,1,258,54.09
All the Light We Cannot See,1,4.32,1,1,0,Anthony Doerr,544.0,198.0,129.0,34.0,370.0,1,5,2015,HarperCollins Publishers,London,United Kingdom,1,259,56.67
Call Me By Your Name,1,4.15,1,1,0,Andre Aciman,256.0,198.0,129.0,18.0,234.0,21,12,2017,Atlantic Books,London,United Kingdom,1,127,42.18
Everything I Never Told You,1,3.86,0,1,0,Celeste Ng,320.0,196.0,131.0,28.0,250.0,13,11,2014,"Little, Brown Book Group",London,United Kingdom,1,210,40.32
The Perks of Being a Wallflower : the most moving coming-of-age classic,1,4.21,1,1,0,Stephen Chbosky,240.0,198.0,130.0,20.0,185.0,10,2,2009,Simon & Schuster Ltd,London,United Kingdom,1,283,45.79
Ugly Love,1,4.27,1,1,0,Colleen Hoover,352.0,198.0,130.0,22.1,255.0,21,1,2016,Simon & Schuster Ltd,London,United Kingdom,1,5,47.24
"Girl, Woman, Other : WINNER OF THE BOOKER PRIZE 2019",1,4.36,1,1,0,Bernardine Evaristo,464.0,198.0,129.0,28.0,321.0,5,3,2020,Penguin Books Ltd,London,United Kingdom,1,219,53.47
Seven Husbands of Evelyn Hugo : Tiktok made me buy it!,1,4.46,1,1,0,Taylor Jenkins Reid,400.0,198.0,130.0,24.0,282.0,14,10,2021,Simon & Schuster Ltd,London,United Kingdom,1,2,52.67
To Kill A Mockingbird : 60th Anniversary Edition,1,4.27,1,1,0,Harper Lee,320.0,165.0,110.0,19.0,165.0,29,12,2010,Cornerstone,London,United Kingdom,1,170,41.6
Me Before You : The international bestselling phenomenon,1,4.25,1,1,0,Jojo Moyes,528.0,198.0,129.0,31.0,362.0,4,3,2019,Penguin Books Ltd,London,United Kingdom,1,4865,56.26
