,book_title,book_genre,book_rate,successfull_book,paperback,hardback,author,number_of_pages,book_length_mm,book_width_mm,book_depth_mm,book_weight_grams,publication_day,publication_month,publication_year,publisher,publication_city,publication_country,language,bestsellers_rank,price_nis
0,It Ends With Us: The most heartbreaking novel you'll ever read : The most heartbreaking novel you'll ever read,contemporary fiction,4.44,1,1,0,Colleen Hoover,384.0,198.0,130.0,27.0,270,2,Aug,2016,Simon & Schuster Ltd,London,United Kingdom,English,1,52.42
1,Where the Crawdads Sing,contemporary fiction,4.46,1,1,0,Delia Owens,384.0,126.0,195.0,27.0,265,14,Jan,2020,"Little, Brown Book Group",London,United Kingdom,English,19,45.74
2,The Midnight Library : The No.1 Sunday Times bestseller and worldwide phenomenon,contemporary fiction,4.08,1,1,0,Matt Haig,304.0,198.0,129.0,17.0,224,18,Feb,2021,Canongate Books Ltd,Edinburgh,United Kingdom,English,9,49.88
3,Normal People : One million copies sold,contemporary fiction,3.85,0,1,0,Sally Rooney,288.0,198.0,129.0,17.0,240,23,Jul,2019,Faber & Faber,London,United Kingdom,English,11,50.21
4,1984 : The dystopian classic reimagined with cover art by Shepard Fairey,contemporary fiction,4.19,1,1,0,George Orwell,336.0,181.0,111.0,20.0,184,1,Oct,2008,Penguin Books Ltd,London,United Kingdom,English,59,40.41
5,Animal Farm : The dystopian classic reimagined with cover art by Shepard Fairey,contemporary fiction,3.97,0,1,0,George Orwell,112.0,181.0,111.0,6.0,67,1,Oct,2008,Penguin Books Ltd,London,United Kingdom,English,87,37.99
6,The Song of Achilles,contemporary fiction,4.41,1,1,0,Madeline Miller,368.0,198.0,129.0,25.0,256,21,Sep,2017,Bloomsbury Publishing PLC,London,United Kingdom,English,11,55.53
7,Eleanor Oliphant is Completely Fine,contemporary fiction,4.26,1,1,0,Gail Honeyman,400.0,198.0,129.0,30.0,350,5,Apr,2018,HarperCollins Publishers,London,United Kingdom,English,492,54.32
8,The Handmaid's Tale,contemporary fiction,4.12,1,1,0,Margaret Atwood,336.0,198.0,129.0,20.0,234,28,Jun,2011,Vintage Publishing,London,United Kingdom,English,"1,335",51.67
9,Grandmaster of Demonic Cultivation : Mo Dao Zu Shi: Vol 1,contemporary fiction,4.66,1,1,0,Mo Xiang Tong Xiu,504.0,210.0,149.0,30.48,369,14,Dec,2021,"Seven Seas Entertainment, LLC",West Hollywood,United States,English,13,81.48
10,"The Silent Patient : The record-breaking, multimillion copy Sunday Times bestselling thriller and Richard & Judy book club pick",contemporary fiction,4.13,1,1,0,Alex Michaelides,352.0,196.0,126.0,26.0,247,15,Jan,2020,Orion Publishing Co,London,United Kingdom,English,43,45.37
11,Before the Coffee Gets Cold,contemporary fiction,3.73,0,1,0,Toshikazu Kawaguchi,224.0,196.0,131.0,16.0,173,19,Sep,2019,Pan Macmillan,London,United Kingdom,English,42,43.9
12,A Gentleman in Moscow : The worldwide bestseller,contemporary fiction,4.33,1,1,0,Amor Towles,512.0,198.0,129.0,30.0,351,2,Nov,2017,Cornerstone,London,United Kingdom,English,258,54.09
13,All the Light We Cannot See,contemporary fiction,4.32,1,1,0,Anthony Doerr,544.0,198.0,129.0,34.0,370,1,May,2015,HarperCollins Publishers,London,United Kingdom,English,259,56.67
14,Call Me By Your Name,contemporary fiction,4.15,1,1,0,Andre Aciman,256.0,198.0,129.0,18.0,234,21,Dec,2017,Atlantic Books,London,United Kingdom,English,127,42.18
15,Dune,contemporary fiction,4.24,1,1,0,Frank Herbert,592.0,196.0,128.0,38.0,420,23,Jul,2015,Hodder & Stoughton,London,United Kingdom,English,49,53.32
16,Everything I Never Told You,contemporary fiction,3.86,0,1,0,Celeste Ng,320.0,196.0,131.0,28.0,250,13,Nov,2014,"Little, Brown Book Group",London,United Kingdom,English,210,40.32
17,A Little Life,contemporary fiction,4.31,1,1,0,Hanya Yanagihara,736.0,197.0,130.0,45.0,517,10,Mar,2017,Pan Macmillan,London,United Kingdom,English,69,61.11
18,The Perks of Being a Wallflower : the most moving coming-of-age classic,contemporary fiction,4.21,1,1,0,Stephen Chbosky,240.0,198.0,130.0,20.0,185,10,Feb,2009,Simon & Schuster Ltd,London,United Kingdom,English,283,45.79
19,Ugly Love,contemporary fiction,4.27,1,1,0,Colleen Hoover,352.0,198.0,130.0,22.1,255,21,Jan,2016,Simon & Schuster Ltd,London,United Kingdom,English,5,47.24
