,book_title,book_genre,book_rate,successfull_book,paperback,hardback,author,number_of_pages,book_length_mm,book_width_mm,book_depth_mm,book_weight_grams,publication_day,publication_month,publication_year,publisher,publication_city,publication_country,language,bestsellers_rank,price_nis
0,Legacy,sport,4.19,1,1,0,James Kerr,224,215,136,17,244,20,Aug,2015,"Little, Brown Book Group",London,United Kingdom,English,"6,262",55.04
1,"Born to Run : The hidden tribe, the ultra-runners, and the greatest race the world has never seen",sport,4.29,1,1,0,Christopher McDougall,304,194,126,18,238,15,Apr,2010,Profile Books Ltd,London,United Kingdom,English,"1,826",49.50
2,Yoga Anatomy,sport,4.27,1,1,0,Leslie Kaminoff,288,254,178,12.7,707.6,01,Nov,2011,Human Kinetics Publishers,Champaign,IL,English,"2,794",124.25
3,The Salt Path : The 80-week Sunday Times bestseller that has inspired over half a million readers,sport,4.09,1,1,0,Raynor Winn,288,198,129,17,202,31,Jan,2019,Penguin Books Ltd,London,United Kingdom,English,587,54.11
4,"The 4-Hour Body : An Uncommon Guide to Rapid Fat-loss, Incredible Sex and Becoming Superhuman",sport,3.74,0,1,0,Timothy Ferriss,592,234,153,41,758,28,Jun,2011,Ebury Publishing,London,United Kingdom,English,"11,987",89.71
5,Breath : The New Science of a Lost Art,sport,4.15,1,1,0,James Nestor,304,198,129,18,213,08,Jul,2021,Penguin Books Ltd,London,United Kingdom,English,36,56.35
6,Relentless : From Good to Great to Unstoppable,sport,3.94,0,1,0,Tim S. Grover,272,213,140,23,225,13,Mar,2014,Simon & Schuster,New York,United States,English,893,51.85
7,Into Thin Air : A Personal Account of the Everest Disaster,sport,4.2,1,1,0,Jon Krakauer,352,197,130,22,264,01,Jul,2011,Pan Macmillan,London,United Kingdom,English,"2,217",48.22
8,Range : How Generalists Triumph in a Specialized World,sport,4.14,1,1,0,David Epstein,368,196,129,25,262,01,Oct,2020,PAN MACMILLAN,London,United Kingdom,English,733,50.61
9,Harry Potter: Collectible Quidditch Set,sport,4.82,1,1,0,Running Press,32,226,112,116,"1,180",30,Jun,2016,"Running Press,U.S.",London,United States,English,603,103.98
10,Open : An Autobiography,sport,4.24,1,1,0,Andre Agassi,400,203,133,20,374,23,Sep,2011,Random House USA Inc,New York,United States,English,"22,445",59.62
11,What I Talk About When I Talk About Running,sport,3.86,0,1,0,Haruki Murakami,192,178,110,110,106,02,Apr,2009,Vintage Publishing,London,United Kingdom,English,"11,655",58.88
12,Strength Training Anatomy,sport,4.31,1,1,0,Frederic Delavier,192,255,196,12.6,590,09,Mar,2010,Human Kinetics Publishers,Champaign,IL,English,"10,599",97.79
13,The Boys In The Boat : An Epic Journey to the Heart of Hitler's Berlin,sport,4.34,1,1,0,Daniel James Brown,416,197,130,26,295,02,Jan,2014,Pan Macmillan,London,United Kingdom,English,"10,172",48.86
14,The Inner Game of Tennis : The Ultimate Guide to the Mental Side of Peak Performance,sport,4.16,1,1,0,W Timothy Gallwey,160,197,130,10,120,27,Jul,2015,Pan Macmillan,London,United Kingdom,English,"1,935",42.80
15,The Book of Five Rings : A Classic Text on the Japanese Way of the Sword,sport,4.01,1,1,0,Miyamoto Musashi,192,171,106,13,102,15,Apr,2005,Shambhala Publications Inc,Boston,United States,English,"1,858",42.43
16,Open : An Autobiography,sport,4.24,1,1,0,Andre Agassi,400,198,129,25,260,11,Aug,2010,HarperCollins Publishers,London,United Kingdom,English,"1,347",58.84
17,Breath : The New Science of a Lost Art,sport,4.15,1,1,0,James Nestor,304,234,153,22,369,21,May,2020,Penguin Books Ltd,London,United Kingdom,English,"2,100",127.92
18,The Backyard Adventurer,sport,4.38,1,1,0,Beau Miles,256,228.6,152.4,16.51,426.38,28,May,2021,Brio Books,Australia,Australia,English,"2,707",124.50
19,"Born to Run : A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",sport,4.29,1,1,0,Christopher McDougall,304,203,132,23,283,29,Mar,2011,Random House USA Inc,New York,United States,English,"81,550",65.77
20,Black Box Thinking : Marginal Gains and the Secrets of High Performance,sport,4.31,1,1,0,Matthew Syed,352,197,130,24,248,07,Apr,2016,John Murray Press,London,United Kingdom,English,"6,474",47.82
21,Mah Jong Player's Companion,sport,3.94,0,1,0,Patricia Thompson,64,215,150,6.35,136.08,01,Jun,1998,Simon & Schuster Australia,East Roseville,Australia,English,"10,692",80.65
22,"Mud, Sweat and Tears",sport,4.16,1,1,0,Bear Grylls,480,198,127,31,360,28,Feb,2013,Transworld Publishers Ltd,London,United Kingdom,English,"25,179",59.32
23,A Walk in the Woods : Rediscovering America on the Appalachian Trail,sport,4.05,1,1,0,Bill Bryson,416,173,104,27,210,26,Dec,2006,Random House USA Inc,New York,United States,English,"3,183",45.33
24,Five Lessons : The Modern Fundamentals of Golf,sport,4.52,1,1,0,Ben Hogan,128,203,130,8.13,110,20,Sep,1985,SIMON & SCHUSTER,New York,United States,English,"74,714",58.17
25,Barbarian Days : A Surfing Life,sport,4.24,1,1,0,William Finnegan,512,195,130,34,400,31,May,2016,"Little, Brown Book Group",London,United Kingdom,English,"4,530",52.91
26,I Am Zlatan Ibrahimovic,sport,3.89,0,1,0,Zlatan Ibrahimovic,352,198,129,22,268,22,Oct,2013,Penguin Books Ltd,London,United Kingdom,English,"100,551",55.48
27,Coaching for Performance : The Principles and Practice of Coaching and Leadership FULLY REVISED 25TH ANNIVERSARY EDITION,sport,4.1,1,1,0,Sir John Whitmore,288,246,190,24,454,01,Mar,2020,John Murray Press,London,United Kingdom,English,"2,780",74.32
